GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simple-api,fr.takima.training.simpleapi.service,DepartmentService,9,16,1,3,2,5,2,3,1,2
simple-api,fr.takima.training.simpleapi.service,StudentService,4,81,0,12,1,21,1,14,1,8
simple-api,fr.takima.training.simpleapi,SimpleApiApplication,8,0,0,0,3,0,2,0,2,0
simple-api,fr.takima.training.simpleapi.controller,DepartmentController,69,0,6,0,17,0,8,0,5,0
simple-api,fr.takima.training.simpleapi.controller,StudentController,97,0,6,0,26,0,9,0,6,0
simple-api,fr.takima.training.simpleapi.controller,GreetingController.Greeting,15,0,0,0,1,0,3,0,3,0
simple-api,fr.takima.training.simpleapi.controller,GreetingController,23,0,0,0,3,0,2,0,2,0
simple-api,fr.takima.training.simpleapi.entity,Department,6,15,0,0,2,6,2,4,2,4
simple-api,fr.takima.training.simpleapi.entity,Student.Builder,0,42,0,0,0,14,0,5,0,5
simple-api,fr.takima.training.simpleapi.entity,Student,6,29,0,0,2,12,2,8,2,8
simple-api,fr.takima.training.simpleapi.entity,Department.Builder,0,24,0,0,0,8,0,3,0,3
